,,,,,,,,,,,,,,,,,
"FleetFuelImplement incentives for employees to reduce kilometers traveled, such as rewards for carpooling, using public transport, or biking to work.",5,Fleet,Fuel,,,Are employees incentivized to reduce km travelled?,No,Employees are informed about the general policy of not driving too many kms,For business purposes employees are requested to reduce km allowance of travel,"Yes - avoid paying for privatly driven fuel (e.g. through telemetric solution), reduce km allowance of travel",1%,2%,1.0%-2.0%,"Implement incentives for employees to reduce kilometers traveled, such as rewards for carpooling, using public transport, or biking to work.",Change the Nature of Demand, Reduce Consumption, Incentivize reduced travel
"FleetFuelImplementing financial incentives, such as bonuses or matching contributions, encourages employees to save money by directly rewarding their savings efforts.",6,Fleet,Fuel,,,Are employees incentivized to tank at the cheapest station?,No,Employees are informed about fuel grade to purchase and card is limited to the relevant one,"In addition to the fuel grade, employees receive app in the beginning","Yes, app for cheapest fuel station nearby is loaded on the phones and positive news coverage on the internal newsletter / incentivation for employees exist/ name & shame list",1%,2%,1.0%-2.0%,"Implementing financial incentives, such as bonuses or matching contributions, encourages employees to save money by directly rewarding their savings efforts.",Change the Nature of Demand, Reduce Consumption, Incentivize consumption reduction
LegalNAIndicative hourly rates and experience levels allow performance-based project control and provide grounds for complaints if hours significantly exceed estimates.,7,Legal,NA,,,Are hourly rates and experience levels set and controlled for each contract?,No,Only for selected contracts,For the majority of contracts,"Yes, completely",1%,2%,1.0%-2.0%,Indicative hourly rates and experience levels allow performance-based project control and provide grounds for complaints if hours significantly exceed estimates.,Manage Spend, Control Compliance, Implement performance-based contracts/SLAs
AuditNAIndicative hourly rates and experience levels allow performance-based project control and provide grounds for complaints if hours significantly exceed estimates.,8,Audit,NA,,,Are hourly rates and experience levels set and controlled for each contract?,No,Only for selected contracts,For the majority of contracts,"Yes, completely",1%,2%,1.0%-2.0%,Indicative hourly rates and experience levels allow performance-based project control and provide grounds for complaints if hours significantly exceed estimates.,Manage Spend, Control Compliance, Implement performance-based contracts/SLAs
"HRTrainingConsider training to be conducted internaly, enables to realize savings & build a training 100% to the need of the specific company & culture.",9,HR,Training,,,Are internal resources leverage to conduct trainings?,"No, external trainers are used","There are few examples conducted, but they mainly did not work out.","Yes, we have continuously been working on this strategy and overcome the initial downsides.","Yes, around 60-70% of the trainings are conducted with internal experts",1%,2%,1.0%-2.0%,"Consider training to be conducted internaly, enables to realize savings & build a training 100% to the need of the specific company & culture.",Change the Nature of Demand, Reduce Consumption, Insourcing (for services)
"FleetWay of purchasingWithin a RFP ideally fix 1-2 OEMs, to ensure the received discounts are significant. ",10,Fleet,Way of purchasing,,,"Are preferential OEMs defined (car manufacturer) and pre-negotiated agreements exist? If yes, what is the % share of the top 3 OEMs?",<50%,50-70%,70-90%,>90%,1%,2%,1.0%-2.0%,"Within a RFP ideally fix 1-2 OEMs, to ensure the received discounts are significant. ",Leverage Competition Among Suppliers,Target Pricing & Cost modles,Strategic supplier selection (focused)
"FleetPolicyImplementing programs to manage underutilized and oversized assets throughout their lifecycle ensures optimal usage and cost distribution. This approach helps in disposing of unnecessary assets, expanding their influence, and efficiently managing workloads with the use of third parties for peak times, resulting in significant cost savings",11,Fleet,Policy,,,"Are there programs to reduce underutilized assets (e.g. pool cars)  or oversized assets e.g. dispose, expand areas of influence, manage base workload and use 3rd parties for peak?",No - we trust the people driving this topic take care of it,Yes - there are policies existing but controlling is low,"Policies existing, controlling in certain countries not overarching","Policies & tracking are regularly conducted, utilization is managed properly",1%,2%,1.0%-2.0%,"Implementing programs to manage underutilized and oversized assets throughout their lifecycle ensures optimal usage and cost distribution. This approach helps in disposing of unnecessary assets, expanding their influence, and efficiently managing workloads with the use of third parties for peak times, resulting in significant cost savings",Change the Nature of Demand,Optimize Asset Utilization,Optimize asset utilization/dispose of unused assets
"Office SuppliesNAUse white label where possible, typically this needs to be > 90% for office suppliers",12,Office Supplies,NA,,,Are white label (no-name brands) products focused? ,No,They are offered,They are preferred,Only white lable products can be ordered,2%,4%,2.0%-4.0%,"Use white label where possible, typically this needs to be > 90% for office suppliers",Leverage Competition Among Suppliers, Standardize Specifications, Use white-label/private label products
LogisticsCEP LogisticsOptimize partner rates by service level and weight bucket on tradelanes.,13,Logistics,CEP Logistics,,,Are you able to cherry-pick the best partner rate on a tradelane for different service levels and / or weight buckets?,Not at all,with some manual effort,partially automised,full system support available,0%,1%,0.3%-0.5%,Optimize partner rates by service level and weight bucket on tradelanes.,Leverage Competition Among Suppliers, Target Pricing & Cost Models, Optimize pricing structures
LogisticsCEP LogisticsCollaborative purchasing to leverage collective buying power for cost savings.,14,Logistics,CEP Logistics,,,Are you currently cooperating with a purchasing consortium or are planning to do so in the future?,Not at all,Not yet but planned,Planned and close to implement,Yes,1%,1%,0.5%-1.0%,Collaborative purchasing to leverage collective buying power for cost savings.,Seek Joint Advantage with Suppliers, Joint Capacity & Planning, Collaborative Sourcing
HRRecruitmentFocus external recruiting towards just C-level and potentially 1 level below. Challenge if internal activities can be conducted that help with recruiting this person.,15,HR,Recruitment,,,Demand management: when is external recruiting services taken into account?,Whenever the business manager has difficulties to find the best staff,There are lose guidelines existing when to reach out to an external recruiter.,"There are clearly defined guildlines existing, which define when external recruiting can be taken into account.","There are clearly defined guildlines existing, which define when external recruiting can be taken into account. In addition, alternative channels are fostered: e.g. use internal talent pool, launch internal refferal  ",3%,5%,2.5%-5.0%,Focus external recruiting towards just C-level and potentially 1 level below. Challenge if internal activities can be conducted that help with recruiting this person.,Change the Nature of Demand, Reduce Consumption, Insourcing (for recruiting)
"ConsultingNAEstablish spend approval boards: By ensuring senior-level approval for consulting projects, you centralize decision-making and enhance planning efficiency. This reduces disruption costs, leading to more streamlined processes and significant cost savings",16,Consulting,NA,,,Demand review: Do you have a well-shaped process in place where the CEO/ senior level is approving the need for consulting projects and the costs?,No,Limited exploration,"Yes, but not fully implemented",Yes- the CEO/ or similar is approving all the consulting projects?,2%,3%,1.5%-3.0%,"Establish spend approval boards: By ensuring senior-level approval for consulting projects, you centralize decision-making and enhance planning efficiency. This reduces disruption costs, leading to more streamlined processes and significant cost savings",Manage Spend, Improve Process Efficiency, Centralize decision-making/approval
"HRRecruitmentEffective management of recruiting agency agreements provides transparency and consolidation, simplifying the process and ensuring cost-effective and efficient recruitment solutions",17,HR,Recruitment,,,Demand steering: when an agreement is made with a recruiting agency - how is the agreement set-up?,"The relevant employee discusses with the recruiting agency what they currently needs - if there are further demands (e.g. over his department), new discussions will arise",Demand is covered throughout different Bus. Withthis conslidated demand the HR and Procurement department speaks with the recruiter,"Like answer before + the discussion is opened towards the recruiting company, how a best-in-case solution would look like","After negotiations, the contract is right-sized based on actual needs and historic KPIs, thereby ensuring maximum ROI for all services, such as:
          -Optimize no. of job postings per year
          -Challenge necessity of add-ons, such as banners
          -Adjust service scope in alignment with overarching channel strategy
-Ensure holistic supplier strategy through cross-category negotiations (e.g. with Training)",3%,5%,2.5%-5.0%,"Effective management of recruiting agency agreements provides transparency and consolidation, simplifying the process and ensuring cost-effective and efficient recruitment solutions",Manage Spend, Control Compliance, Optimize contract management
"FleetWay of purchasingIdeally, leasing companies and OEMs are tendered at the same time - every 3 years and fix framework agreements. Every time larger demands arise mini-RFPs are conducted between the providers",18,Fleet,Way of purchasing,,,Describe the approach how to tender OEMs and leasing car companies,We have consistently the same suppliers since years and re-negotiate when possible and feasible,We are tendering leasing companies on a regular basis - country by country,We are tendering leasing companies & ask quotations of OEMs on a regular basis,We are tendering both demands at the same time - every 3 years and fix framework agreements. Every time larger demands arise mini-RFPs are conducted between the providers,0%,1%,0.3%-0.5%,"Ideally, leasing companies and OEMs are tendered at the same time - every 3 years and fix framework agreements. Every time larger demands arise mini-RFPs are conducted between the providers",Leverage Competition Among Suppliers, Competitive Bidding, Framework agreements & mini-RFPs
AuditNASupplier panels by category by audit area should exist.,19,Audit,NA,,,Do supplier panels by audit area exist?,"No, the audit department can freely chose a supplier for audit work","There are recommended audit companies to work with, the audit department can deviate with reasons",Supplier panels exists and are agreed - mostly consisting of currently hired companies,"There is a clear set of a defined supplier panel (consisting of larger & expensive companies as well as smallers), that is commonly agreed between audit department and Procurement - and can just be altered with senior approval",1%,2%,1.0%-2.0%,Supplier panels by category by audit area should exist.,Leverage Competition Among Suppliers, Rationalize Supply Base, Establish preferred supplier panels
LegalNAOrganizes suppliers by legal area for efficient and transparent selection.,20,Legal,NA,,,Do supplier panels by legal area exist?,"No, the legal department can freely chose a supplier for legal work","There are recommanded legal companies to work with, the legal department can deviate with reasons",Supplier panels exists and are agreed - mostly consisting of currently hired companies,"There is a clear set of a defined supplier panel (consisting of larger & expensive companies as well as smallers), that is commonly agreed between legal department and Procurement - and can just be altered with senior approval",1%,2%,1.0%-2.0%,Organizes suppliers by legal area for efficient and transparent selection.,Manage Spend, Improve Process Efficiency, Standardize supplier selection criteria
LegalNAVariable project remuneration can reduce purchasing costs through volume bonuses for exceeding turnover limits and satisfaction-dependent KPIs to adjust prices based on project satisfaction.,21,Legal,NA,,,Do variable rewards per project exist?,No,Only partially,For majority of projects,"Yes, the majority of the contracts have KPI-based satisfaction bonus",0%,1%,0.3%-0.5%,Variable project remuneration can reduce purchasing costs through volume bonuses for exceeding turnover limits and satisfaction-dependent KPIs to adjust prices based on project satisfaction.,Manage Spend, Control Compliance, Implement performance-based contracts/variable remuneration
AuditNAVariable project remuneration can reduce purchasing costs through volume bonuses for exceeding turnover limits and satisfaction-dependent KPIs to lower prices in case of dissatisfaction.,22,Audit,NA,,,Do variable rewards per project exist?,No,Only partially,For majority of projects,"Yes, the majority of the contracts have KPI-based satisfaction bonus",1%,2%,1.0%-2.0%,Variable project remuneration can reduce purchasing costs through volume bonuses for exceeding turnover limits and satisfaction-dependent KPIs to lower prices in case of dissatisfaction.,Manage Spend,Control Compliance,Implement performance-based contracts/variable remuneration
Temp LabourNATrack the duration of temps on a regular basis. If temp is longer than 12 months - check for insourcing,23,Temp Labour,NA,,,Do you activly track the duration of stay of a temp labour employee against the current equal pay duration?,No this is not tracked & managed. A temp labour person stays as long as needed within the organization,It is tracked - so that the relevant manager is notified about the cost increase,It is tracked and the managers are actively asked to review the need; but most likely they vote to stay with the temp labour employee,With the supplier an exchange program is set-up - so that a temp labour employee is exchanged based on duration,1%,1%,0.5%-1.0%,Track the duration of temps on a regular basis. If temp is longer than 12 months - check for insourcing,Change the Nature of Demand, Reduce Consumption, Insourcing (for temp labor)
"AuditNASubsidiary companies can be audited by the same law firm, if legally permissible, resulting in cost savings through volume bundling.",24,Audit,NA,,,Do you bundle audit services with your subsidiaries at the same firms?,No,Yes but only partially,"Yes, to an extent","Yes, fully",2%,3%,1.5%-3.0%,"Subsidiary companies can be audited by the same law firm, if legally permissible, resulting in cost savings through volume bundling.",Leverage Competition Among Suppliers, Consolidate Volume, Bundle demand across entities
LegalNACorporate subsidiaries can bundle legal services to align rates and increase volume at law firms.,25,Legal,NA,,,Do you bundle legal needs with your subsidiaries at the same law firms?,No,Yes but only partially,"Yes, to an extent","Yes, fully",1%,1%,0.5%-1.0%,Corporate subsidiaries can bundle legal services to align rates and increase volume at law firms.,Leverage Competition Among Suppliers, Consolidate Volume, Bundle demand across entities
"LegalNABy comparing booked and charged hours with internal request estimates, overbooked hours can be identified.",26,Legal,NA,,,Do you check the hours booked and billed by the law firms and reconcile them with the assessments of the internal requesters?,No,Only partially,For majority of projects,All projects,1%,1%,0.5%-1.0%,"By comparing booked and charged hours with internal request estimates, overbooked hours can be identified.",Manage Spend, Control Compliance, Monitor and verify hours/expenses
MRONAOrders bypassing the purchasing department risk inefficient pricing. A simple catalog connection and consistent tracking of manufacturer material numbers can route internal customers to the specified purchasing process.,27,MRO,NA,,,Do you convert OEM spare parts to low-priced private label/white label products together with your distributors?,No,-,-,Yes,1%,1%,0.5%-1.0%,Orders bypassing the purchasing department risk inefficient pricing. A simple catalog connection and consistent tracking of manufacturer material numbers can route internal customers to the specified purchasing process.,Manage Spend, Improve Process Efficiency, Implement e-catalogs/streamline ordering
"TravelAirPreferred carrier relationships secure favorable rates and service quality, enhancing cost efficiency.",28,Travel,Air,,,Do you have a carrier preference?,No preference,Preferred carrier based on region,Preferred carrier for all travels,Preferred carrier who are within one alliance,0%,1%,0.3%-0.5%,"Preferred carrier relationships secure favorable rates and service quality, enhancing cost efficiency.",Seek Joint Advantage with Suppliers, Joint Process Improvement, Develop preferred supplier relationships
TravelHotelSetting city caps on hotels controls expenses and ensures cost-effective accommodation choices.,29,Travel,Hotel,,,Do you have a city cap on Hotels?,No city cap,City cap in major cities only,City cap in all cities of travel,Dynamic city cap based on travel season,2%,3%,1.5%-3.0%,Setting city caps on hotels controls expenses and ensures cost-effective accommodation choices.,Manage Spend, Control Compliance, Implement spend limits/caps
"TravelCar RentalChoosing the right compensation model aligns costs with usage, optimizing rental expenses.",30,Travel,Car Rental,,,Do you have a Commission based or fixed-rate compensation model,Commission-based model,Fixed-rate compensation model,Mixed model (both commission and fixed-rate),No specific model defined,1%,1%,0.5%-1.0%,"Choosing the right compensation model aligns costs with usage, optimizing rental expenses.",Leverage Competition Among Suppliers, Target Pricing & Cost Models, Optimize pricing models (rental)
"ConsultingNASet-up framework contracts for different types of consulting work, allows to commercially tender and have the right rates in place.",31,Consulting,NA,,,Do you have a pre-qualification process for identifying and selecting qualified consulting providers with relevant experience and expertise in specific areas like compliance or risk management?,No pre-qualification process,"Basic pre-qualification exists, but may not be consistently applied",Standardized pre-qualification process ensures qualified consulting providers with relevant experience,Rigorous pre-qualification process evaluates potential providers based on specific criteria aligned with project requirements and industry best practices,1%,1%,0.5%-1.0%,"Set-up framework contracts for different types of consulting work, allows to commercially tender and have the right rates in place.",Leverage Competition Among Suppliers, Competitive Bidding, Framework agreements
TravelUber/ TaxiEstablishing agreements with taxi/Uber services ensures standardized rates and cost savings.,32,Travel,Uber/ Taxi,,,Do you have company agreements for taxis/ uber?,No - employees can freely chose when they want to use what,,,"Yes- there are agreements with uber as well as taxi companies in place. The policy defines, that employees should primerily use Uber.",2%,4%,2.0%-4.0%,Establishing agreements with taxi/Uber services ensures standardized rates and cost savings.,Leverage Competition Among Suppliers, Competitive Bidding, Negotiate framework agreements (travel)
"TravelHotelMaintaining an LRA rate card ensures standardized rates, fostering relationships and cost efficiencies.",33,Travel,Hotel,,,Do you have LRA rate card with Tier 1/Tier 2 hotel chains across top cities of travel?,No LRA rate card,LRA rate card with Tier 1 hotels only,LRA rate card with Tier 2 hotels only,LRA rate card with both Tier 1 and Tier 2 hotels,1%,1%,0.5%-1.0%,"Maintaining an LRA rate card ensures standardized rates, fostering relationships and cost efficiencies.",Manage Spend, Control Compliance, Standardize rate cards
TravelCar RentalPartnering with preferred car rental providers ensures cost-effective rental options.,34,Travel,Car Rental,,,Do you have preferred partners with negotiated rates for Car rentals?,No preferred partners,Some preferred partners with minimal negotiations,Preferred partners with standard negotiated rates,Extensive preferred partners with comprehensive negotiated rates,1%,2%,1.0%-2.0%,Partnering with preferred car rental providers ensures cost-effective rental options.,Seek Joint Advantage with Suppliers, Joint Process Improvement, Develop preferred supplier relationships (travel)
ITSoftware development and maintenanceConsolidate contracts by developing small suppliers and establishing a preferred supplier pool for major development. Transition to fixed pricing with risk-sharing mechanisms and establish SLA guidelines to track compliance and shortcomings.,35,IT,Software development and maintenance,,,Do you have strategic supplier pools serving different needs?,No,-,Only partially,Yes,1%,2%,1.0%-2.0%,Consolidate contracts by developing small suppliers and establishing a preferred supplier pool for major development. Transition to fixed pricing with risk-sharing mechanisms and establish SLA guidelines to track compliance and shortcomings.,Leverage Competition Among Suppliers, Rationalize Supply Base, Consolidate contracts & suppliers
"ITSoftware development and maintenanceLeveraging AI-based models can automate some parts of development and testing; thus reducing time and resource needs. This innovative approach minimizes manual tasks, cuts operational costs and boosts efficiency.",36,IT,Software development and maintenance,,,Do you leverage AI for development/ testing activities?,Not at all,Rarely,Partially,Fully,1%,1%,0.5%-1.0%,"Leveraging AI-based models can automate some parts of development and testing; thus reducing time and resource needs. This innovative approach minimizes manual tasks, cuts operational costs and boosts efficiency.",Change the Nature of Demand, Reduce Complexity, Automate processes (development/testing)
ITIT helpdeskAutomating help desk inquiries with AI cuts support costs and frees up resources for complex issues.,37,IT,IT helpdesk,,,Do you leverage the full potential of AI to process help desk inquiries automatically?,Not at all,Rarely,Partially,Fully,2%,3%,1.5%-3.0%,Automating help desk inquiries with AI cuts support costs and frees up resources for complex issues.,Change the Nature of Demand, Reduce Complexity, Automate processes (help desk)
"TravelPolicyPartnering with a travel agency streamlines bookings and leverages discounts, reducing travel costs.",38,Travel,Policy,,,"Do you use Travel Agency for all your bookings? If not, what percentage of your bookings go through Client’s Travel Agency ? ",No travel agency used,Less than 50% of bookings through the agency,50-70% of bookings through the agency,More than 70% of bookings through the agency,1%,2%,1.0%-2.0%,"Partnering with a travel agency streamlines bookings and leverages discounts, reducing travel costs.",Leverage Competition Among Suppliers, Consolidate Volume, Consolidate travel agencies
LogisticsLOG OceanUnbundled rates with categorized services for flexible cost management.,39,Logistics,LOG Ocean,,,"Do you work with all-in rates or are these unbundled, e.g., comparing door-door with forwarder vs. port-port with self-managed pre-/on-carriage?",All-in rates,Mixed with more all-in rates,Mixed with more unbundled rates,Unbundled rates,1%,2%,1.0%-2.0%,Unbundled rates with categorized services for flexible cost management.,Manage Spend, Control Compliance, Unbundle rates/services
"LogisticsRoad LogisticsStandard tenders focus on quotes and supplier margins, while expressive bidding also addresses systemic costs through volume discounts, bundle discounts, and alternative bids, leading to lower rates.",40,Logistics,Road Logistics,,,"Do you work with all-in rates or are these unbundled, e.g., with separate fuel floater and surcharges?",All-in rates,Mixed with more all-in rates,Mixed with more unbundled rates,Unbundled rates,0%,1%,0.3%-0.5%,"Standard tenders focus on quotes and supplier margins, while expressive bidding also addresses systemic costs through volume discounts, bundle discounts, and alternative bids, leading to lower rates.",Leverage Competition Among Suppliers, Competitive Bidding, Expressive bidding
"PackagingNACost-based price modeling is a process-oriented method for determining target prices. The basis for target prices are the individual process steps, to which reference values are applied.",41,Packaging,NA,,,Do your contracts include any sort of price adjustment mechanisms based on raw material indexes?,No price adjustment clauses - fixed contract pricing only,"No automatic price adjustment clause, but regular (e.g. half-yearly) price negotiations",Price adjustment clauses for the main categories in terms of spend,Price adjustements for all contracts,3%,5%,2.5%-5.0%,"Cost-based price modeling is a process-oriented method for determining target prices. The basis for target prices are the individual process steps, to which reference values are applied.",Leverage Competition Among Suppliers, Target Pricing & Cost Models, Implement cost-based price modeling
TravelAirDefining and enforcing flight class policies ensures cost-effective travel options.,42,Travel,Air,,,Flight: What classes can be booked?,Not specified,Business Class > 3 hours,Business Class > 5 hours,Only Economy Class,2%,3%,1.5%-3.0%,Defining and enforcing flight class policies ensures cost-effective travel options.,Manage Spend, Control Compliance, Enforce travel policies (flight class)
"FleetPolicyLeasing duration can vary, offering flexibility in lease terms to suit different needs.",43,Fleet,Policy,,,For leasing cars with defined return date (closed-end lease cars): What is the typical leasing duration?,"Very diverse,  depending who orders them",Around 2 years as a standard,Around 3 years as a standard,"4-5 years, depending on the country (road conditions)",0%,1%,0.3%-0.5%,"Leasing duration can vary, offering flexibility in lease terms to suit different needs.",Change the Nature of Demand, Optimize Asset Utilization, Flexible leasing terms
MarketingPOS MaterialMove POS material to digital screens,44,Marketing,POS Material,,,For that % of current POS material that could be replaced with digital - what is the business case? ,Significant,Good,Low,No business case,2%,3%,1.5%-3.0%,Move POS material to digital screens,Change the Nature of Demand, Reduce Consumption, Substitute materials/processes (digital)
MarketingTraditional MediaEnsure rate commitments for all pursued target audiences in TV/radio.,45,Marketing,Traditional Media,,,For TV and radio campaigns - what % of target audience (by spend behind the TA) experienced defintion change since last pitch (affecting rate commitments)?,>50%,50-30%,30-10%,<10%,1%,2%,1.0%-2.0%,Ensure rate commitments for all pursued target audiences in TV/radio.,Manage Spend, Control Compliance, Ensure rate commitments
"PackagingNAThis organization is characterized by the permanent concentration of decision makers in one place plus a dynamic planning process. Via improved information flow, disruption costs are avoided.",46,Packaging,NA,,,"For what share of spend is order modality (e.g. MOQ, batch size, scale pricing) regularly reviewed?",<25%,25-50%,50-75%,75-100%,2%,3%,1.5%-3.0%,"This organization is characterized by the permanent concentration of decision makers in one place plus a dynamic planning process. Via improved information flow, disruption costs are avoided.",Manage Spend, Improve Process Efficiency, Improve information flow/centralize planning
"PackagingNAClassification of all material/ supplier master data through standardized logic, consistent link-up of master data to the ordering system and avoidance of loosely worded purchase orders.",47,Packaging,NA,,,For what share of your SKUs % are specifications available in a central repository?,<25%,25-50%,50-75%,75-100%,3%,5%,2.5%-5.0%,"Classification of all material/ supplier master data through standardized logic, consistent link-up of master data to the ordering system and avoidance of loosely worded purchase orders.",Manage Spend, Improve Process Efficiency, Standardize master data/ordering processes
"Temp LabourNATemp labour policy to include Furlough (no temp labour during holiday season, no overtime)",48,Temp Labour,NA,,,"Furlough: Do you have a mandatory period defined, where no temp labour staff can be employed, e.g. outside at regular holidays, no overtime (as it is especially expensive)",No,If the factory is closed (e.g. over Christmas) no temp labour is used ,"Furlough is globally defined, but not implemented extensivly",Yes- Furlough is defined and implemented where legally possible. The MSP tracks this closely.,1%,2%,1.0%-2.0%,"Temp labour policy to include Furlough (no temp labour during holiday season, no overtime)",Change the Nature of Demand, Reduce Consumption, Optimize labor utilization/policy
"MRONADispensing controls, like dispensing machines, effectively reduce the need for tools and PPE products. Authorized employees use a card to record and charge each withdrawal to the cost center, significantly reducing material removal and consumption.",49,MRO,NA,,,Have you implemented measures to control dispensing (e.g. dispensing machines)?,No,"No, but planned within next 2 years",-,"Yes, currently being implemented",1%,2%,1.0%-2.0%,"Dispensing controls, like dispensing machines, effectively reduce the need for tools and PPE products. Authorized employees use a card to record and charge each withdrawal to the cost center, significantly reducing material removal and consumption.",Change the Nature of Demand, Reduce Consumption, Implement usage controls/dispensing machines
MarketingAd ProductionCentralize all adaptation funding under a single agency.,50,Marketing,Ad Production,,,How are copy adaptations managed?,All adaptations managed by respective brands creative agencies; no adaptation agency  ,Global productions adapted centrally; local productions adapted locally,There is one adaptation agency with one set of ratecards globally,All adaptations managed by one adaptation agency selected in less than 1 year ago with ratecards by geography,1%,1%,0.5%-1.0%,Centralize all adaptation funding under a single agency.,Leverage Competition Among Suppliers, Consolidate Volume, Consolidate agency spend
"HRRecruitmentAdopting global strategies for recruiting ensures the selection of the most competitive suppliers, leading to higher quality hires and cost-effective recruitment processes.",51,HR,Recruitment,,,How are Recruiting sourced?,The relevant employee reaches out to a recruiting service.,The relevant employee highlights which recruiting would be needed and the Procurement department negotiates with the provider.,"The HR department creates an overview of all available recruiters. Starting with this, negotiations are conducted",There is a tender process where specfically named recruiters are sourced & compared to each other. ,3%,5%,2.5%-5.0%,"Adopting global strategies for recruiting ensures the selection of the most competitive suppliers, leading to higher quality hires and cost-effective recruitment processes.",Leverage Competition Among Suppliers, Rationalize Supply Base, Global sourcing (recruiting)
Temp LabourNAChallenging of the spec and updating occurs on a regular basis.,52,Temp Labour,NA,,,How are specifications and profiles created?,Specifications and profiles are in place since years - they are defined in accordance to the years of experience and the education level an individual has,Specifications and profiles are challenged by procurement together with the demand organization within a certain interval (half years) to ensure that just the really needed skills are requested,Specifications are defined in accordance to the real need and the tasks of the skill,Challenging of the spec and updating occurs on a regular basis,1%,2%,1.0%-2.0%,Challenging of the spec and updating occurs on a regular basis.,Change the Nature of Demand, Optimize Specifications, Challenge and update specifications
"FleetPolicyThe ideal job car should be reliable, fuel-efficient, and comfortable, with ample storage space and advanced safety features.",53,Fleet,Policy,,,How are specifications defined for company fleet (based on which budget for fleet is defined)?,"Cars come in a large variety, depending who orders them",Specs are defined as needed with small limitations,Standard options are possible for the car,"Choice of specification is clearly defined, max. engine power, personal contribution is defined",1%,2%,1.0%-2.0%,"The ideal job car should be reliable, fuel-efficient, and comfortable, with ample storage space and advanced safety features.",Change the Nature of Demand, Optimize Specifications, Define optimal specifications (fleet)
"HRTrainingSelecting the most competitive training suppliers from a global pool enhances training quality and cost efficiency, overcoming regional supply limitations",54,HR,Training,,,How are trainings sourced?,The employee names the cost of the training towards the company.,The employee highlights which training would be needed and the Procurement department negotiates with the provider.,"The HR department creates an overview of all available trainings per department. Starting with this, negotiations are conducted","There is a tender process where specfically named trainings are sourced & compared to each other. In many cases an online platform is sourced, where trainings are available.",3%,5%,2.5%-5.0%,"Selecting the most competitive training suppliers from a global pool enhances training quality and cost efficiency, overcoming regional supply limitations",Leverage Competition Among Suppliers, Rationalize Supply Base, Global sourcing (training)
LogisticsCEP LogisticsOptimize service levels by aligning demand with value-based sourcing categories.,55,Logistics,CEP Logistics,,,How are you managing your internal demand to allocate the right service level based on actual need?,Not at all,some asks to business side to consider more cost effective options,some rules and approval needed to restrict the ordering process,approval process in place and regular review of nature of demand,1%,2%,1.0%-2.0%,Optimize service levels by aligning demand with value-based sourcing categories.,Change the Nature of Demand, Optimize Service Levels, Align service levels with demand
MarketingEventsUse ROI analysis to enhance event demand.,56,Marketing,Events,,,How dilligent is discipline of evaluating events by ROI they generate?,None,Occassional,Quite disciplined,Very disciplined,2%,4%,2.0%-4.0%,Use ROI analysis to enhance event demand.,Change the Nature of Demand, Manage Demand, Use ROI analysis for demand
